N_Vecinos,Tipo_vot,P_casos,P_Atrib,Distance,Prec_pred
13,0,65,Voto_fijo,[],Euclidea,0.94
13,0,67,Voto_fijo,[],Euclidea,0.94
13,0,70,Voto_fijo,[],Euclidea,0.9333333333333333
13,0,75,Voto_fijo,[],Euclidea,0.9133333333333333
13,0,80,Voto_fijo,[],Euclidea,0.9066666666666666
13,0,50,Igual_votos,[],Manhattan,0.9533333333333334
13,0,55,Igual_votos,[],Manhattan,0.94
13,0,60,Igual_votos,[],Manhattan,0.94
13,0,65,Igual_votos,[],Manhattan,0.9266666666666666
13,0,67,Igual_votos,[],Manhattan,0.9266666666666666
13,0,70,Igual_votos,[],Manhattan,0.9133333333333333
13,0,75,Igual_votos,[],Manhattan,0.9133333333333333
13,0,50,Voto_fijo,[],Manhattan,0.9666666666666667
13,0,55,Voto_fijo,[],Manhattan,0.9466666666666667
13,0,60,Voto_fijo,[],Manhattan,0.9466666666666667
13,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
13,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
13,0,70,Voto_fijo,[],Manhattan,0.9266666666666666
13,0,75,Voto_fijo,[],Manhattan,0.9266666666666666
13,0,80,Voto_fijo,[],Manhattan,0.9133333333333333
13,0,50,Igual_votos,[],Chebychef,0.9733333333333334
13,0,55,Igual_votos,[],Chebychef,0.9466666666666667
13,0,60,Igual_votos,[],Chebychef,0.9466666666666667
13,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
13,0,55,Voto_fijo,[],Chebychef,0.98
13,0,60,Voto_fijo,[],Chebychef,0.9666666666666667
13,0,65,Voto_fijo,[],Chebychef,0.94
13,0,67,Voto_fijo,[],Chebychef,0.9266666666666666
13,0,70,Voto_fijo,[],Chebychef,0.92
14,0,50,Igual_votos,[],Euclidea,0.9666666666666667
14,0,55,Igual_votos,[],Euclidea,0.9666666666666667
14,0,60,Igual_votos,[],Euclidea,0.94
14,0,65,Igual_votos,[],Euclidea,0.92
14,0,67,Igual_votos,[],Euclidea,0.92
14,0,70,Igual_votos,[],Euclidea,0.92
14,0,75,Igual_votos,[],Euclidea,0.9066666666666666
14,0,50,Voto_fijo,[],Euclidea,0.98
14,0,55,Voto_fijo,[],Euclidea,0.9733333333333334
14,0,60,Voto_fijo,[],Euclidea,0.9533333333333334
14,0,65,Voto_fijo,[],Euclidea,0.94
14,0,67,Voto_fijo,[],Euclidea,0.9333333333333333
14,0,70,Voto_fijo,[],Euclidea,0.9333333333333333
14,0,75,Voto_fijo,[],Euclidea,0.9133333333333333
14,0,80,Voto_fijo,[],Euclidea,0.9
14,0,50,Igual_votos,[],Manhattan,0.9533333333333334
14,0,55,Igual_votos,[],Manhattan,0.9533333333333334
14,0,60,Igual_votos,[],Manhattan,0.9333333333333333
14,0,65,Igual_votos,[],Manhattan,0.9266666666666666
14,0,67,Igual_votos,[],Manhattan,0.9266666666666666
14,0,70,Igual_votos,[],Manhattan,0.9266666666666666
14,0,75,Igual_votos,[],Manhattan,0.9
14,0,50,Voto_fijo,[],Manhattan,0.9666666666666667
14,0,55,Voto_fijo,[],Manhattan,0.9466666666666667
14,0,60,Voto_fijo,[],Manhattan,0.9466666666666667
14,0,65,Voto_fijo,[],Manhattan,0.9333333333333333
14,0,67,Voto_fijo,[],Manhattan,0.9333333333333333
14,0,70,Voto_fijo,[],Manhattan,0.9266666666666666
14,0,75,Voto_fijo,[],Manhattan,0.9266666666666666
14,0,80,Voto_fijo,[],Manhattan,0.9066666666666666
14,0,50,Igual_votos,[],Chebychef,0.9533333333333334
14,0,55,Igual_votos,[],Chebychef,0.9533333333333334
14,0,60,Igual_votos,[],Chebychef,0.92
14,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
14,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
14,0,60,Voto_fijo,[],Chebychef,0.9666666666666667
14,0,65,Voto_fijo,[],Chebychef,0.9333333333333333
14,0,67,Voto_fijo,[],Chebychef,0.9266666666666666
14,0,70,Voto_fijo,[],Chebychef,0.9066666666666666
15,0,50,Igual_votos,[],Euclidea,0.9866666666666667
15,0,55,Igual_votos,[],Euclidea,0.9533333333333334
15,0,60,Igual_votos,[],Euclidea,0.9533333333333334
15,0,65,Igual_votos,[],Euclidea,0.9333333333333333
15,0,67,Igual_votos,[],Euclidea,0.9333333333333333
15,0,70,Igual_votos,[],Euclidea,0.92
15,0,75,Igual_votos,[],Euclidea,0.9
15,0,80,Igual_votos,[],Euclidea,0.9
15,0,50,Voto_fijo,[],Euclidea,0.98
15,0,55,Voto_fijo,[],Euclidea,0.9733333333333334
15,0,60,Voto_fijo,[],Euclidea,0.9533333333333334
15,0,65,Voto_fijo,[],Euclidea,0.9333333333333333
15,0,67,Voto_fijo,[],Euclidea,0.9333333333333333
15,0,70,Voto_fijo,[],Euclidea,0.9333333333333333
15,0,75,Voto_fijo,[],Euclidea,0.9133333333333333
15,0,80,Voto_fijo,[],Euclidea,0.9
15,0,50,Igual_votos,[],Manhattan,0.9666666666666667
15,0,55,Igual_votos,[],Manhattan,0.9333333333333333
15,0,60,Igual_votos,[],Manhattan,0.9333333333333333
15,0,65,Igual_votos,[],Manhattan,0.9333333333333333
15,0,67,Igual_votos,[],Manhattan,0.9333333333333333
15,0,70,Igual_votos,[],Manhattan,0.9133333333333333
15,0,50,Voto_fijo,[],Manhattan,0.9666666666666667
15,0,55,Voto_fijo,[],Manhattan,0.9466666666666667
15,0,60,Voto_fijo,[],Manhattan,0.94
15,0,65,Voto_fijo,[],Manhattan,0.94
15,0,67,Voto_fijo,[],Manhattan,0.9266666666666666
15,0,70,Voto_fijo,[],Manhattan,0.9266666666666666
15,0,75,Voto_fijo,[],Manhattan,0.9266666666666666
15,0,80,Voto_fijo,[],Manhattan,0.9
15,0,50,Igual_votos,[],Chebychef,0.96
15,0,55,Igual_votos,[],Chebychef,0.9333333333333333
15,0,60,Igual_votos,[],Chebychef,0.9333333333333333
15,0,65,Igual_votos,[],Chebychef,0.9066666666666666
15,0,67,Igual_votos,[],Chebychef,0.9066666666666666
15,0,50,Voto_fijo,[],Chebychef,0.9866666666666667
15,0,55,Voto_fijo,[],Chebychef,0.9866666666666667
15,0,60,Voto_fijo,[],Chebychef,0.9466666666666667
15,0,65,Voto_fijo,[],Chebychef,0.94
15,0,67,Voto_fijo,[],Chebychef,0.92
15,0,70,Voto_fijo,[],Chebychef,0.9066666666666666
